apk_id,apk_hash,apk_is_mal,apk_accept,apk_access,apk_bind,apk_chdir,apk_chmod,apk_chown,apk_chroot,apk_close,apk_connect,apk_dup2,apk_dup,apk_fchdir,apk_fchmod,apk_fchown,apk_fcntl,apk_flock,apk_fpathconf,apk_fstat,apk_fstatfs,apk_fsync,apk_ftruncate,apk_getdirentries,apk_getdomainname,apk_getfh,apk_getfsstat,apk_gethostname,apk_getpeername,apk_getrlimit,apk_getsockname,apk_getsockopt,apk_gettimeofday,apk_hostname,apk_ioctl,apk_link,apk_listen,apk_lseek,apk_lstat,apk_mkdir,apk_mkfifo,apk_mknod,apk_mmap,apk_mount,apk_mq_close,apk_mq_getattr,apk_mq_open,apk_mq_receive,apk_mq_send,apk_mq_setattr,apk_mq_unlink,apk_munmap,apk_nfssvc,apk_open,apk_pipe,apk_read,apk_readlink,apk_readv,apk_recv,apk_recvfrom,apk_recvmsg,apk_rename,apk_rmdir,apk_select,apk_send,apk_sendmsg,apk_sendto,apk_sethostname,apk_setrlimit,apk_setsockopt,apk_settimeofday,apk_shm_open,apk_shm_unlink,apk_shutdown,apk_socket,apk_socketpair,apk_stat,apk_statfs,apk_swapon,apk_symlink,apk_sync,apk_truncate,apk_umask,apk_unlink,apk_unmount,apk_utimes,apk_write,apk_writev
3495,com.a01tech.massager4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3496,com.a3d4medical.completeanatomy,0,0,4,0,0,2,0,0,13,0,1,0,0,0,0,2,0,0,8,0,2,0,0,0,0,0,0,0,0,0,8,33,0,18,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,11,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,10,0,0,0,2,0,0,2,0,0,9,12
3497,com.a4tune,0,0,13,0,0,5,0,0,1281,0,0,50,0,0,0,51,4,0,1194,0,5,0,0,0,0,0,0,0,0,0,6,23,0,4969,5,0,2,0,0,0,0,1278,0,0,0,0,0,0,0,0,1182,0,7,0,303778,0,0,0,1035,0,5,0,0,0,0,369,0,0,0,0,0,0,0,0,0,1201,0,0,0,5,0,0,5,0,0,145169,160
3498,com.aa2.generaladaptiveapps,0,0,51,0,0,52,0,0,737,0,0,189,0,32,0,638,14,0,676,0,4,64,0,0,0,0,0,0,0,0,13,3112,0,7946,40,0,49,44,0,0,0,801,0,0,0,0,0,0,0,0,574,0,140,0,365882,0,0,0,8521,3725,5,0,0,0,60,5097,0,0,0,0,0,0,0,0,0,821,0,0,0,4,64,0,40,0,0,151266,1950
3499,com.aaaacademy.app,0,0,0,0,0,0,0,0,21,0,0,8,0,0,0,6,4,0,17,0,0,1,0,0,0,0,0,0,0,0,1,2,0,119,0,0,1,0,0,0,0,36,0,0,0,0,0,0,0,0,53,0,2,0,209,0,0,0,653,0,0,0,0,0,0,304,0,0,0,0,0,0,0,0,0,20,0,0,0,0,1,0,0,0,0,84205,8
3500,com.aaa.bayasys.aaaprofitanalytics,0,0,18,0,0,10,0,0,100,0,0,17,0,4,0,177,4,0,197,0,2,7,0,0,0,0,0,0,1,0,4,184,0,937,7,0,3,6,0,0,0,220,0,0,0,0,0,0,0,0,113,0,25,0,50774,0,0,0,1153,0,2,0,0,0,0,349,0,0,0,0,0,0,0,0,0,242,0,0,0,2,7,0,7,0,0,95212,84
3501,com.AAATAXI,0,0,0,0,0,0,0,0,69,0,0,5,0,0,0,3,6,0,16,0,0,1,0,0,0,0,0,0,0,0,13,127,0,802,0,0,2,0,0,0,0,73,0,0,0,0,0,0,0,0,45,0,3,0,84478,0,0,0,1799,1007,0,0,0,0,24,1053,0,0,0,0,0,0,0,0,0,20,0,0,0,0,1,0,0,0,0,117383,1376
3502,com.aafi.ilmulaadaad,0,0,26,0,0,0,0,0,921,8,1,254,0,0,0,346,8,0,517,0,0,98,0,0,0,0,0,0,0,2,23,6803,0,9955,4,0,4,61,0,0,0,979,0,0,0,0,0,0,0,0,939,0,115,0,208038,0,0,0,6341,4419,6,0,0,0,106,7537,0,0,4,0,0,0,1,8,1,600,0,0,0,0,98,0,4,0,0,155645,2446
3503,com.aa.generaladaptiveapps,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,8,0,16,0,0,2,0,0,0,0,0,0,0,0,0,8,0,1004,0,0,3,0,0,0,0,38,0,0,0,0,0,0,0,0,139,0,4,0,125894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,2,0,0,0,0,1380,0
3504,com.aals.eventapp,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
